品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,訳,700
名詞-普通名詞-副詞可能,侭,702
名詞-普通名詞-一般,筈,711
名詞-普通名詞-副詞可能,通り,722
名詞-普通名詞-一般,音,735
名詞-普通名詞-一般,娘,751
名詞-普通名詞-一般,積り,771
名詞-普通名詞-副詞可能,今度,783
名詞-普通名詞-一般,客,787
名詞-普通名詞-一般,首,789
名詞-普通名詞-一般,妻,814
名詞-普通名詞-一般,夢,815
名詞-普通名詞-一般,光,827
名詞-普通名詞-一般,警察,828
名詞-普通名詞-形状詞可能,急,835
名詞-普通名詞-一般,気分,848
名詞-普通名詞-一般,席,850
名詞-普通名詞-一般,腕,857
名詞-普通名詞-一般,匂い,862
名詞-普通名詞-一般,指,865
名詞-普通名詞-一般,代わり,870
名詞-普通名詞-一般,嘘,873
名詞-普通名詞-副詞可能,途中,875
名詞-普通名詞-一般,火,876
名詞-普通名詞-一般,血,878
名詞-普通名詞-サ変可能,返事,881
名詞-普通名詞-一般,髪,882
名詞-普通名詞-一般,壁,897
名詞-普通名詞-一般,裏,901
名詞-普通名詞-サ変可能,約束,918
名詞-普通名詞-一般,ガラス,946
名詞-普通名詞-一般,背中,964
名詞-普通名詞-一般,ビル-building,980
名詞-普通名詞-サ変可能,案内,991
名詞-普通名詞-一般,喉,992
名詞-普通名詞-一般,帰り,1008
名詞-普通名詞-サ変形状詞可能,邪魔,1010
名詞-普通名詞-サ変可能,承知,1017
名詞-普通名詞-一般,畳,1038
名詞-普通名詞-副詞可能,遠く,1039
名詞-普通名詞-一般,雲,1052
名詞-普通名詞-サ変可能,遠慮,1053
名詞-普通名詞-サ変可能,留守,1064
名詞-普通名詞-一般,真ん中,1075
名詞-普通名詞-一般,祖母,1079
名詞-普通名詞-副詞可能,今夜,1089
名詞-普通名詞-一般,枝,1100
名詞-普通名詞-一般,嬢,1123
名詞-普通名詞-一般,隅,1125
名詞-普通名詞-一般,パパ,1139
名詞-普通名詞-一般,髭,1141
名詞-普通名詞-一般,棚,1142
名詞-普通名詞-一般,ベル-bell,1146
名詞-普通名詞-一般,旅館,1155
名詞-普通名詞-一般,カーテン,1156
名詞-普通名詞-サ変可能,支度,1174
名詞-普通名詞-一般,赤ん坊,1176
名詞-普通名詞-サ変可能,見物,1177
名詞-普通名詞-一般,用事,1186
名詞-普通名詞-一般,泥棒,1191
名詞-普通名詞-一般,電灯,1208
名詞-普通名詞-一般,引き出し,1228
名詞-普通名詞-一般,姿,1325
名詞-普通名詞-一般,身,1331
名詞-普通名詞-一般,思い,1368
名詞-普通名詞-副詞可能,辺り,1344
名詞-普通名詞-一般,一体,1394
名詞-普通名詞-一般,奥,1340
名詞-普通名詞-一般,奴,1330
名詞-普通名詞-一般,様子,1377
名詞-普通名詞-一般,胸,1385
名詞-普通名詞-一般,所為,1383
名詞-普通名詞-形状詞可能,不思議,1459
名詞-普通名詞-一般,城,1512
名詞-普通名詞-一般,丸,1495
名詞-普通名詞-一般,馬,1507
名詞-普通名詞-一般,表情,1453
名詞-普通名詞-一般,腰,1448
名詞-普通名詞-一般,敵,1517
名詞-普通名詞-一般,老人,1702
名詞-普通名詞-一般,組,1682
名詞-普通名詞-一般,腹,1480
名詞-普通名詞-一般,肩,1489
名詞-普通名詞-一般,正面,1631
名詞-普通名詞-一般,穴,1618
名詞-普通名詞-サ変可能,涙,1548
名詞-普通名詞-副詞可能,瞬間,1616
名詞-普通名詞-一般,床,1637
名詞-普通名詞-一般,息,1567
名詞-普通名詞-サ変可能,緊張,1798
名詞-普通名詞-一般,兵,1829
名詞-普通名詞-一般,底,1849
名詞-普通名詞-副詞可能,翌日,1836
名詞-普通名詞-一般,少女,1820
名詞-普通名詞-副詞可能,一瞬,1720
名詞-普通名詞-一般,ビール,1767
名詞-普通名詞-サ変可能,恐怖,1891
名詞-普通名詞-形状詞可能,妙,1769
名詞-普通名詞-一般,怒り,2288
名詞-普通名詞-一般,勢い,1949
